company_id,industry,employee_range
"01bcdf2ec356bf5","Software and Technology","20 - 49"
"030b0e04558fc88","Software and Technology","100 - 249"
"03561c542b2cdcb","Business Services","50 - 99"
"0366327bf47fb01","Financial Services","20 - 49"
"03ab9ddb892161d","Business Services","0 - 9"
"03c93b91f82c36f","Business Services","50 - 99"
"03e9c00d4698d71","Food and Beverage","10,000+"
"04aa8dece3eb37b","Telecommunications","100 - 249"
"04ef345b0be04ea","Business Services","100 - 249"
"0556ab6aa791dc0","Food and Beverage","250 - 499"
"05fc9f643539378","Business Services","20 - 49"
"064e3dc129fad5e","Software and Technology","1,000 - 4,999"
"075dfa97b549bdb","Business Services","20 - 49"
"07a58566b267a25","Transportation and Logistics","1,000 - 4,999"
"07da1287514e43c","Media and Entertainment","500 - 999"
"0842fdaa8bcd6d4","Recreation","1,000 - 4,999"
"08684c5d40721ef","Business Services","100 - 249"
"08a9b1158fbd2d6","Financial Services","0 - 9"
"08e6eec5168aace","Software and Technology","0 - 9"
"08e9f480ce0ec4e","Healthcare and Medical","0 - 9"
"09052f6153f8e28","Software and Technology","500 - 999"
"093675ebeed0588","Business Services","100 - 249"
"09c9092560d71b5","Real Estate","20 - 49"
"0bf417255e04278","Financial Services","1,000 - 4,999"
"0c62fbdf4c72d0c","Financial Services","1,000 - 4,999"
"0cc509fbf8ffed1","Healthcare and Medical","50 - 99"
"0d05a5da24275c2","Business Services","50 - 99"
"0d5a01719941db8","Software and Technology","100 - 249"
"0d5f16aea675d35","Software and Technology","20 - 49"
"0dc12d88c3e6d56","Software and Technology","250 - 499"
"0dfd57cd5625edc","Healthcare and Medical","1,000 - 4,999"
"0e25fec4d0496ed","Retail and Distribution","20 - 49"
"0ecc875c8839d1f","Business Services","100 - 249"
"0ef26c9b7f151e2","Software and Technology","250 - 499"
"0f15dcd7388fcd6","Software and Technology","100 - 249"
"0f4b6f7426ce0bc","Construction","1,000 - 4,999"
"0f87e7532169da1","Business Services","20 - 49"
"0fe1246de25cb3a","Software and Technology","20 - 49"
"0febecc28056b5f","Financial Services","0 - 9"
"102c2b3234e629f","Education","1,000 - 4,999"
"104e9b4302c9e25","Software and Technology","250 - 499"
"1061baafc458577","Healthcare and Medical","500 - 999"
"10c235466dd345d","Software and Technology","20 - 49"
"10f32ae513ba6cc","Software and Technology","50 - 99"
"10f7eb833b5fd47","Business Services","50 - 99"
"11e240eaa7e6206","Software and Technology","0 - 9"
"11f88cd8694b1ff","Software and Technology","20 - 49"
"125ee79eec2d324","Consumer Goods and Services","1,000 - 4,999"
"13cc56cf23d0b66","Software and Technology","100 - 249"
"1424e9183c86dbc","Financial Services","100 - 249"
"1457a2e0c6090b9","Retail and Distribution","50 - 99"
"145c7a49566cd37","Business Services","20 - 49"
"1491f932a95fb69","Education","100 - 249"
"14951204cb706c3","Healthcare and Medical","100 - 249"
"14d74af152c4932","Software and Technology","100 - 249"
"154e103ed267c9a","Education","5,000 - 9,999"
"15c801ffd41ad8e","Financial Services","20 - 49"
"163857b87ee6335","Software and Technology","250 - 499"
"16486da2b950639","Software and Technology","50 - 99"
"169e75fc15e6a4f","Financial Services","1,000 - 4,999"
"16ad7c2214291c6","Software and Technology","20 - 49"
"16dd940c48277a3","Financial Services","250 - 499"
"18992ebf246c636","Software and Technology","1,000 - 4,999"
"195070657f0a788","Software and Technology","100 - 249"
"199cee6b9894fc1","Retail and Distribution","500 - 999"
"19e8aef0950de7e","Financial Services","20 - 49"
"1a20653448531de","Consumer Goods and Services","50 - 99"
"1a354e4e59396ac","Business Services","50 - 99"
"1a97f5f1b9e9f50","Media and Entertainment","100 - 249"
"1ac98aaf2a0396f","Manufacturing","50 - 99"
"1b431facdce41a3","Retail and Distribution","1,000 - 4,999"
"1b6649c93d1563b","N/A","N/A"
"1b674bd161fb779","Software and Technology","0 - 9"
"1b7a681807f4cb6","Consumer Goods and Services","10,000+"
"1ba0ebe514dcd79","Software and Technology","20 - 49"
"1be833b626af5d5","Business Services","100 - 249"
"1c33929cb49d5d2","Software and Technology","10 - 19"
"1c80b562ff3c555","Software and Technology","20 - 49"
"1ca5606914e7c28","Associations","1,000 - 4,999"
"1ce445b6d3d48e2","Software and Technology","20 - 49"
"1d3f4be906d475b","Financial Services","20 - 49"
"1d54ffea6e20da4","Healthcare and Medical","0 - 9"
"1d9d559619025fc","Business Services","N/A"
"1df47563a16de1a","Business Services","100 - 249"
"1e27da7d736f0f4","Hardware","10,000+"
"1e35939c8877294","Automotive","100 - 249"
"1e911e583b054e5","Real Estate","500 - 999"
"1eaaf29688a2b63","Manufacturing","1,000 - 4,999"
"1eb33bb2a3ed040","Business Services","100 - 249"
"1eb764a309e533b","Pharmaceuticals","5,000 - 9,999"
"1f8e6164b080f07","Software and Technology","100 - 249"
"1fd5b2a49f767e9","Software and Technology","100 - 249"
"216fd3bd2d29600","Education","100 - 249"
"21858b3c93a411c","Business Services","100 - 249"
"21e1cc9b291748b","Financial Services","10,000+"
"21e67ea94b21f19","Financial Services","500 - 999"
"226944665edc143","Telecommunications","50 - 99"
"229b292f4967693","Business Services","100 - 249"
"22cc39b1a5b340a","N/A","1,000 - 4,999"
"23be89104688142","Business Services","1,000 - 4,999"
"23c338a0b967757","Government","10,000+"
"242f23470c03462","Business Services","100 - 249"
"2454268a5efef7e","Healthcare and Medical","1,000 - 4,999"
"24f657badabaa4c","Hospitality and Travel","0 - 9"
"251a0cd24dc8fb0","Healthcare and Medical","10,000+"
