company_id,created_date
"73813c646290a71","2019-10-30"
"779be5c06f90563","2019-10-18"
"819d511f53f2ffd","2019-07-08"
"a2f1338863c2991","2019-08-09"
"2ddff3202da56e0","2019-09-23"
"3e56f8a673b423e","2019-07-26"
"23ebfcbf0ad802d","2019-07-30"
"3d7ce1bd36a5c6a","2019-11-27"
"11320e2a07d2354","2019-07-08"
"8a946d255736f83","2019-09-03"
"a21838a50ac1854","2019-10-07"
"a8ac092e9435218","2019-07-08"
"3254a0b5f9662bc","2019-10-23"
"367f242ac2240ae","2019-10-21"
"f616958709aee73","2019-11-04"
"99e0dd632480cd1","2019-09-12"
"b86082be583847d","2019-08-02"
"2bfb68f0e04cac6","2019-07-19"
"023245924409f10","2019-08-27"
"584c75b1126d5b8","2019-09-09"
"49587b16aa7cc64","2019-10-15"
"45684e9c22c5e8b","2019-10-24"
"4702f55336e3eda","2019-10-07"
"e5b368d1d7b0f46","2019-09-23"
"d411ce5ee6fac29","2019-12-13"
"f91f7a39aa58a01","2019-11-28"
"21e1cc9b291748b","2019-11-04"
"406620a47aade9c","2019-09-12"
"6c1d1be2a0ab27d","2019-07-03"
"92b22db977da5e4","2019-11-05"
"fb911292e5d80d1","2019-10-29"
"3d20424df9449fd","2019-07-30"
"096f8095b1ca7e0","2019-07-19"
"6c3bafafa34c0ef","2019-08-02"
"1c3a5aa593a379f","2019-09-26"
"7dea0ac857f1ffb","2019-10-01"
"b8276238f3580fd","2019-12-16"
"4d17d27f915a0f6","2019-10-08"
"4d17d27f915a0f6","2019-11-27"
"97c7e2b93a77a73","2019-08-23"
"23838a4ff9cfc36","2019-11-07"
"60a83769f2bc30b","2019-07-17"
"fb0894028cd0b0e","2019-09-04"
"2957f1508316f8c","2019-07-17"
"279fdf95c6b5cb6","2019-09-20"
"b6d3f2ca966c0bc","2019-08-05"
"0bf95693ad19eb4","2019-10-07"
"5363b7896f195ad","2019-09-23"
"1d8aba95f8d20d3","2019-11-06"
"1dff96f30fe34d9","2019-07-01"
"e78268e3ce3e13c","2019-07-25"
"eb152e2d8205d1c","2019-07-31"
